COMMAND,OPERATOR,ALIAS(S),ARGUMENT(S),PARAMETERS,CATEGORY,DEFAULT,DESCRIPTION,MENU,GUI SHORTCUT,COMMENTS,USE,EXPLANATION,EXAMPLE 1,EXAMPLE 2,PRESET
:io,,,%,,overlay,blank,overlay inlets~ and outlets~,,create objects on the overlay ???,,,,,,:v 0
:ol,,,%,% = float = state (0‚ 1),overlay,0,optimize context for embedding,other → more → overlay →embedded,no,Contexts behaviour changes slightly when an object is embedded in it: 1. Its DSP is switched on (for embedded contexts). 2. The overlay patch is saved in the creation argument. 3. Context resizing (:X and :Y) changes slightly to account for embedded objects. This setting generally takes care of itself and it is best to leave it untouched. However‚ you can use this to switch back to regular mode. (Context resizing is more clunky with :ol 1‚ which is one reason you might want to switch back).,Turn :ol off if you have embeded objects in the overlay patch but outside of the GOP area to improve context resizing.,No example given.,,,:v 0
:ol,-save,,,,overlay,n/a,save overlay,other → more → overlay → save overlay,no,This saves the overlay patch to contexts creation argument‚ but you need to save the main patch again (ctrl+s) to save it to file.,,,:oI -save,:oI -open,:v 0
:ol,-open,-edit,,,overlay,n/a,open the overlay,other → more → overlay → view overlay,right click + open,,,,:oI -save,:oI -open,:v 0
:ol,-clear,,,,overlay,n/a,clear the overlay,other → more → overlay → clear overlay,no,This clears the overlay from the creation argument‚ but does not affect the overlay patch. Re-saving the patch will undo the clear.,,No example given.,,,:v 0
:pr,,print,%,% = float = state (0‚ 1‚ 2),general,0,print context output and state,other → state → auto print,no,1 prints all output messages to the console as they are sequenced. 2 prints this as well as any command input.,This is useful for designing and debubbing.,With :pr 1‚ this example will print “my message”‚ which is the message stored in :a. With :pr 2‚ it will also print :s‚ because Context is being restarted by the toggle-float at the end.,:pr 1,:pr 2,:v 0 :x 2 5 :i 5 1.5 :d 1 :s :a my message
:pr,,print,{%1},% = command letter (or 'overlay'),saving,n/a,print context settings to the console,other → state → print state,no,This prints the contexts current state to the console. The first term of the printed message is the contexts ID number.,Use this to examine or copy a contexts state. A simple 'print' message with no argument will fetch the entire state‚ while individual command characters (without the colon) will fetch specific states (ie. 'print d a' to see the :d and :a settings). 'print -overlay' prints the entire context state plus the overlay patch. ,,print overlay,print d a,:v 0 :d 3 :a this is my message :pr 2
:rd,,,%,% = float = state (0‚ 1),operation,0,switch first and last toggle for reverse playback,other → more → cycle reversal → reverse last,no,This setting addresses a specific problem. The last toggle is often used to loop a context‚ as in the example‚ but the logic of this is broken if the context cycle is reversed (ie. if :d is negative). :rd reverses the order of the first and last toggle so that loops can remain intact. The reversal only comes into effect when the cycle is negative.,Use this if you want to be able to reverse a context that is auto-looped.,' :d * -1 :s ' reverses the context cycle and ' :rd ' turns this setting on and off. Explore the four different combinations and you will see that the loop fails if the cycle is reversed and :rd is off.,:d * -1 :s,:rd,:v 0 :x 1 2 4 5 :i 5 1.5 :d 2 :rd 1 :s :pr 2
:rt,,,%,% = float = state (0‚ 1),operation,0,shift toggle alignment in reverse playback.,other → more → cycle reversal → offset pattern,no,This setting addresses a specific problem. When Context has its cycle time reversed‚ the Pattern will usually play back in reverse‚ with the last toggle going at the very beginning and the first toggle going at the very end. This makes sense logically‚ but not musically. If we want to play a pattern 'A B C D in reverse‚ we want the 'A to come ¾ of the way through the bar‚ not at the end of it. The :rt setting corrects this problem by shifting the alignment of the internal counter with the toggle array‚ so that in reverse‚ the last beat of the bar (the second last toggle) comes first‚ the second-last beat of the bar comes second‚ etc. A side effect of this is that there is no toggle toggle left to play at the very end of the cyce—unless you are using :rt in conjunction with :rd.,Use :rt if you want to play a melody in reverse‚ with the (old) first beat of the bar playing on the (new) last beat. Use in conjunction with :rd if you want the Context to be able to repeat‚ ie. bounce back on itself.,Notice how the Context pattern is playing (ie. watch the printing messages). With :rt on‚ the pattern is 'A-B-C-D-D-B-C-A-.... With :rt off‚ it is 'A-B-C-D-BLANK-D-C-B-....,:rt 1,:rt 0,:v 0 :d 2 :rt 1 :rd 1 :b ' | | | . :d * -1 :s ' :pr 1 :a a | b | c | d :x 1 2 3 4 5 :e 5 :s
:rm,,,%,% = float = state (0‚ 1),messages,1,determine whether random variable (?) auto-advances after every cycle,messages → variables → ? auto advance,no,This setting determines whether the ? message variable selects a new random value every time it fires.,Note that you can advance the ? variable at any time using the 'bump m' message.,The database contains the text '? 10'‚ so Context will send a random number between 0 and 9 each time it fires. If :rm is off‚ the random number will persist until :rm is switched on again‚ or it receives a “bump m” message.,:rm,bump m,:v 0 :a ' ?10 ' :x 1 2 3 4 5 :i 5 1.5 :d 2
:ro,,,%,% = float = value,messages,0,create an offset for the ? variable,messages → variables → ? offset,no,This adds a single digit to the random values which are selected by the ? variable.,The basic purpose of this setting is to ensure that there are no zeros in random arrays‚ so that they can generate meaningful data for setting toggles. Beyond this‚ it is also possible to add decimal places‚ or random numbers which might be below 0.,,:ro 1,:ro 10,:v 0 :a ' ?10 ' :x 1 2 3 4 5 :i 5 1.5 :d 2 :pr 2
:nr,,,%,% = float = state (0‚ 1),messages,0,determine whethther the ID variable (^) selects randomly or sequentially,messages → variables → ^ random,no,The ^ message variable returns an ID number in place of a tag (argument). This setting determines whether the ID number is chosen randomly or sequentially.,Use this when using one Context to control a group of other Contexts.,No example given.,,,:v 0
:se,,,%,% = float = state (0‚ 1‚ 2),general,0,determine where the context menu commands are sent,other → send settings to,no,This command makes the context menu affect more than one context. :se 1 allows you to send settings to all contexts‚ effectively turning the selected one into a global menu. :se 2 sends the setting selections only to the contexts outlets. The default :se 0 means that only the given context will be affected by the menu selection. Creating a global menu can get confusing‚ but it is always possible to bypass the :se setting by pressing Ctrl.,,No example given.,,,:v 0
:se,,,%,% = symbol,general,blank,send the context menu commands to  custom channel,other → send settings to,no,This selects a custom send channel for the contexts menu selection. Ie. ' :se guitar ' will send the settings to any contexts with the tag 'guitar'.,,No example given.,,,:v 0
:te,,tempo,%,% = float = value,time,100,mutliply the cycle time,timing → calculation → tempo,no,This multiplies the cycle time by a given percenage to allow for global tempo changes.,The :te setting is no different than the :K 1 setting—it is simply a multiplier for the cycle time. Why does it exist? So that you can change the tempo of a group of Contexts even while some of them still have independent :k values.,The :te value would only stand out as useful if you wanted to change the global tempo of a set of Contexts‚ some of which were using :k and :K for other purposes.,:te 75,:te 115,:v 0 :x 1 2 3 4 5 :i 5 1.5 :d 2 :s :pr 2 :s
:x1,:x2 :y1 :y2,,%,% = float = seconds,overlay,0,determine contexts position on a parent canvas,no,use [move] abstraction,:x1 = x start point‚ :x2 = x end point‚ :y1 = y start point‚ :y2 = y end point.,These commands only come into effect when context is embedded in a timeline. They generally take care of themselves and are best left alone.,No example given.,,,:v 0
:ln,{-},,%,% = symbol,operation,blank,set a custom receive channel,ID → receive,no,This creates a custom recieve channel which can be used to send messages to Context. This can also be done with tags (:n)‚ but :ln has a few differences. 1: Only one :ln channel can exist‚ and it has no send component. 2: It can be set dynamically without creating audio dropouts. 3: An optional '-' argument at the beginning means that Context will start every time it receives input through that channel.,Use this to link two Contexts together‚ so that the output of one is automatically received by the other without having to connect them. If using ID numbers‚ make sure not to forget the dash (ie. 'c2-').,This example wont demonstrate very much unless you create another Context with ID number 2.,:ln c2-,:ln - c2-,:v 0 :d 1
:ms,,,%,% = float = state (0‚ 1),messages,0,prepend dollar-zero value to send prefix <,messages → variables → < prepend,no,This setting affects the < message variable which is used to send a message to a specific location. Usually‚ the < variable determines that the message will be sent to the first argument (ie. message '< you me' would send message 'me' to [receive you]. :ms 1 prepends a %0 value to the send channel. Ie. if :ms is on‚ message '< you me would send message 'me to [receive %0-you]. The %0 value is that of the parent patch in which Context is created.,Use this if you want to send a message to an object in the parent patch only.,This example wont demonstrate very much unless you create receive objects [receive me] and [receive %0-me].,:ms 0,:ms 1,:v 0 :x 1 :a ' < me here is my message '
:pu,,,%,% = float = state (0‚ 1),burst,0,turns on structured hierarchy mode for 'push' messages,burst → more → structure mode,no,This setting allows Context to receive 'push messages used for creating structured hierarchies. See the entry on 'push' to understand what this does.,Use the load preset [context :: structure] to make use of this mode,There is not much to see here. Go to helpfiles→structure.pd for an example of a structured hierarchy.,:pu 1,:pu 0,:v 0
:sw,,,%,% = float = state (0‚ 1),overlay,0,turns the internal [switch~] permanently on,other → more → miscellaneous  → switch,no,There is a [switch~] object inside every Context which usually inhibits DSP processing. It is automatically switched on when Content arrays or other embedded objects play‚ but is usually kept off while Context is idle‚ for efficiency. This setting turns [switch~] on permanently‚ in case this is useful.,Use this if you want are embedding audio objects inside Context and want them to work when Context is idle.,This example wont demonstrate very much.,:sw 1,:sw 0,:v 0
:sx,,,%,% = float = state (0‚ 1),toggles,0,force only one toggle on the x-axis,other → more → toggles → force x,no,This setting allows you to set that only one toggle will ever be on in the x-axis‚ a bit like a PD 'radio' object. If it is off then any toggles can be open.,Use this if you want to use the x-axis as a selector.,Turn :sx on and then click on toggles on the x-axis.,:sx,:sy,:v 0 :x 1 2 3 :pr 2
:sy,,,%,% = float = state (0‚ 1),toggles,0,force only one toggle on the y-axis,other → more → toggles → force y,no,This setting allows you to set that only one toggle will ever be on in the y-axis‚ a bit like a PD 'radio' object. If it is off then any toggles can be open.,Use this if you want to use the y-axis as a selector.,Turn :sy on and then click on toggles on the y-axis.,:sy,:sy,:v 0 :y 1 2 :pr 2
:le,,,%,% = float = state (0‚ 1),operation,0,force = to misread the first toggle when interrupted,other → more → toggles → legacy,no,When this setting is on‚ the = message variable will misread the first toggle when it is interrupted in its cycle. Instead of the correct value‚ the next position from where the cycle was interrupted is reported.,This bug can have unexpected musical effect‚ so it is maintained here.,You need to interrupt the Context cycle in order to notice the difference‚ ie. start it while it is already in cycle.,:le 1,:le 0,:v 0 :x 1 2 3 4 5 :i 1 2 3 4 5 :a = :pr 2 :d 4
:ze,,,%,% = any,time,bang,trigger message event on time safety reset.,timing → other → safety trigger,no,The :z 1 function prevents Context from starting twice in a period of 25ms. This is to protect against infinite regressions‚ which would otherwise eat up CPU. When a Context does try to start twice within the threshold amount‚ an event is triggered‚ which is defined by the :ze setting. This event will be sent to the regular send channels and could contain any message. Prepending the message with ' . ' will send a message back to the same Context.,This is primarily useful for reseting the cycle time to a larger value‚ as in the example.,Start Context and you will see that it loops and halves its cycle time each lap. When the time reaches less than 25m‚ the safety feature cuts the loop‚ and the :ze function resets the time t 1. Without this‚ you would have to reset it manually. Note that ' quotation marks ' are necessary in the :ze message‚ so that :d is not interpreted on the way in.,:ze ' . :d 1 ',:ze bang,:v 0 :y 1 4 :d 1 :b ' . :d * .5 ' :j 4 c1 :ze ' . :d 1 '
bump,,,,,burst,n/a,advance the burst selection,no,no,This selects a new set of burst toggles‚ according to the burst settigs.,Use this in conjunction with burst auto-advance (:m 0).,While :m 0 is set‚ the toggle selection wont advance unless the context receives a 'bump' message. When :m 1 is set‚ toggle selection advances each burst cycle.,bump,:m,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1.5 :d .7 :h 1 :m 0 :P 1 :s :v 0 :pr 2
bump,d,,,,time,n/a,advance the random timing,no,no,This selects a new random cycle time.,Use this in conjunction with random timing (:E 1) and random advance (:ra 0).,:E 1 is on‚ but with :ra off‚ new cycle timings will not be selected until context receives a 'bang d'.,:ra,bump d,:v 0 :x 5 :i 5 1.5 :d 3 :q 1 :E 1 :ra 0 :s :pr 2
bump,m,,,,general,n/a,advance the random message variable (?),no,no,This advances the random message variable for output messages.,Use this to select a new random value if :rm is off.,The database contains the text '? 10'‚ so Context will send a random number between 0 and 9 each time it fires. If :rm is off‚ the random number will persist until :rm is switched on again‚ or it receives a “bump m” message.,:rm,bump m,:v 0 :a ' ?10 ' :x 1 2 3 4 5 :i 5 1.5 :d 2
bump,l,,,,burst,n/a,reset the burst quantity urn,no,no,If :l is set to 101‚ the burst quantity will be determined by an urn (that is‚ each number will be selected once at random‚ like taking numbers out of a bag‚ before being reset). “bump l” resets the urn‚ putting all the numbers back in the bag.,:l 101 is useful if you want every open toggle to be randomly selected once in a sequence. Use “bump l” to establish the beginning of the sequence.,Look at how many toggles fire each cycle to understand lR 101. The sequence will come in groups of 4. “bump l” will define the beginning of the group.,bump l,,:M 1 :x 1 2 3 4 5 :i 5 1.5 :d 1 start :v 0 :l 101
bump,R,,,,burst,n/a,reset the burst selection urn,no,no,If :R is set to 101‚ the burst quantity will be determined by an urn (that is‚ each number will be selected once at random‚ like taking numbers out of a bag‚ before being reset). “bump R” resets the urn‚ putting all the numbers back in the bag.,:R 101 is useful if you want every open toggle to be randomly selected once in a sequence. Use “bump R” to establish the beginning of the sequence.,Look at which toggles fire each cycle to understand :R 101. The sequence will come in groups of 4. “bump R” will define the beginning of the group.,bump R,,:M 1 :x 1 2 3 4 5 :i 5 1.5 :d 1 start :v 0 :R 101
push,,,%,% = float = ID number (automatically supplied),burst,n/a,call the next term of a structured hierarchy,no,no,'push' is a command used to call the next state of a structured hierarchy. It is an alternative to the regular Context cycle designed to allow for adding structure to Context networks. 'push' will only work in a Context which has setting :pu 1 (which essentially marks this Context as a structural array. Once a series of :pu 1 contexts have been linked together with toggle float connections‚ the 'push action works as follows: 1: send a 'push' command to the Context connected to the selected burst toggle (which then 2: sends another 'push' command‚ etc.). 3: When the end of the chain is reached‚ cycle that Context. 4: At the end of the cycle‚ 'bump' the burst‚ then send a prompt to the preceeding Context. 5: If the preceeding Context is at the end of its Burst array‚ send a prompt to the preceeding Context‚ etc.,'push' only works with setting :pu 1. In addition‚ it works best with :m 0 (auto-advance off). This is all wrapped up in an easy to use load preset [context :: structure].,There is not much to see here. Go to helpfiles→structure.pd for an example of a structured hierarchy.,push,:pu 1,:v 0 :pu 1
-route,,,%,% = anything,messages,n/a,pass a message through this Context,no,no,'-route' is used to pass a custom message through a Context. It doesnt affect the Context it is send to in any way. If Context receives a message “ -route :d 4”‚ it immediately sends a message “:d 4” to all of its outlets.,'-route' is useful if you want to use one Context to relay messages to others. Note that it will send to the Burst toggles‚ so you should probably use :M 1.,There wont be much visible in this example‚ unless you link this Context up to another one.,-route ' :d 5 ',-route ' :c 3 ',:v 0 :M 1
fetch,,,%1 %2,%1 = symbol = channel‚ %2 = symbol = command letter,general,n/a,fetch a context setting and send it to a specified location,no,no,Like print‚ 'fetch' helps you retrieve something from the context state save list‚ but instead of printing it sends it to a specified location (the first argument). The second argument is any context command but without the colon.,Use 'fetch' to retrieve and process a part of a contexts state (ie. a toggle selection).,You would need to create the object [receive new-channel] in order to view the retrieved data.,fetch d,fetch x,:v 0 :x 1 3 4 :d 3 :pr 2
find,,,% %...,% = float = ID number or symbol = tag,general,n/a,locate context ID numbers and toggles on the canvas,no,no,This helps you locate lost numbers on a larger canvas. ID numbers‚ toggle floats and tags are all searched. Very handy!,Note that this command is much more useful when it is sent to all contexts ( [s context] ) rather than one individual context‚ as in the example.,,find 1 6,find my-tag,:v 0 :x 1 2 3 4 5 :y 1 2 3 :i 1.5 2.5 3.5 4.5 5.5 :j 6.5 7.5 8.5 :n my-tag :pr 2
rev,,,%,% = float = state (0‚ 1),time,0,reverse the Context cycle,no,negative float-atom value,1 reverses the Context cycle‚ ensuring that the burst fires before tthe pattern and the pattern cycles in reverse. 0 puts it back to its normal cycle. No argument (just 'rev' or 'rev bang') toggles reverse‚ depending on the current state.,Use this to reverse the Context cycle. Note that it is functionally equivalent to selecting a negative :d value.,Note that :rd is on here to allow the loop to continue in reverse.,rev,rev 1,:v 0 :x 5 :i 5 1.5 :d 1 :pr 2 :rd 1 start :z 0
reset,-all,,,,saving,n/a,reset the context state to default,no,no,This resets the context to the familiar green‚ 5x4 default. The ID number remains.,It's 'reset' that is being used in this patch to reset the example context each time a new command box is selected.,,reset -all,,:v 0 :X 6 :Y 5 :c 19 :d 4 :a message :pr 2
reset,,,% %,% = symbol = command letter,saving,n/a,reset the specified settings,no,no,This resets only the settings specified. Note that the arguments are command letters without the colon (ie. 'g' instead of ':g').,,,reset X d,reset c x,:v 0 :X 7 :c 2 :d 3 :x 1 2 3 4 :pr 2
savelist,,,,,saving,n/a,open a text dialogue to manually edit the entire context state,other → state → edit list,no,This opens a text dialogue box with the entire context state‚ for viewing and editing.,,,savelist,,:v 0
stop,,:st,,,operation,n/a,stop the context cycle,no,click and hold on the coloured context canvas area,This stops context immediately.,,,start,stop,:v 0 :x 5 :i 5 1.5 :d 1 :s :pr 2
stop,,,% %...,% = symbol = ID (tag or number),operation,n/a,stop a set of contexts,no,no,This should work in combination with any other 'stop' command. Note that the 'context' tag is useful here for stopping all contexts.,Use this to stop any group of contexts‚ according to ID number or tag.,This will stop all contexts currently cycling‚ not just the example one.,start,stop context,:v 0 :x 5 :i 5 1.5 :d 1 :s :pr 2
stop,*,,,,operation,n/a,stop a context at the end of its cycle,no,no,This waits until the context cycle is finished and then stops it. It should work in combination with any other 'stop' command.,Use this to bring a context network to a soft stop rather than a hard.,Press the 'stop *' message before the end of the cycle and watch it finish.,start,stop *,:v 0 :x 5 :i 5 1.5 :d 1 :s :pr 2
stop,-,,% %...,% = symbol = ID (tag or number),operation,n/a,stop contexts with exceptions,no,no,This stops a context unless one of its arguments matches the context ID. It should work in combination with any other 'stop' command.,This command is very useful for creating a 'solo'.,'stop – 1' wont stop the context because ID 1 is treated as an exception. This command is much more useful when you are sending the 'stop message to a group of contexts through tag receive channels. For instance‚ 'stop – drums' being sent to [send context] would stop all contexts other than those tagged with 'drums'. This is very useful for creating 'solos'.,stop - 2,stop - 1,:v 0 :x 5 :i 5 1.5 :d 1 :pr 2
marker,,,%1  %2…,%1 = float = marker ID‚ %2... = any marker message,overlay,n/a,send message to embedded marker,no,no,Use this to send commands to any Marker embedded inside Context. The first argument is the Marker ID number. Next follows any Marker command.,Remember to use quotation marks around the Marker command.,No example given—see 'marker-help.pd'.,,,:v 0
content,,,%1  %2...,%1 = symbol  = content ID‚ %2... = any content message,operation,n/a,send message to embedded content,no,no,Use this to send commands to any Content embedded inside Context. The first argument is the Content name. Next follows any Content command.,Remember to use quotation marks around the Content command.,No example given—see 'content-help.pd'.,,,:v 0
undo,,,,,bank,n/a,send commands to embedded [undo] objects,no,no,There are three 'undo' messages: 'undo'‚ 'undo [float]' and 'undo on [float]'. The first cycles through the undo objects‚ the second one jumps to a specific object‚ and the third one turns the undo objects on/off.,The [undo] object lets you create custom 'undo chains' to help you track and revert to previous Context states. You can control the [undo] object with these messages.,No example given—see 'undo-help.pd.',,,:v 0
loop,,,,,toggles,n/a,turn self looping on/off,no,no,This is just a quick shortcut using the :x and :i commands.,Use this command to loop a Context with toggle float connections.,,loop,:ss,:v 0 :d 1
copy,,,,,bank,n/a,copy command settings from one Context to another,no,no,The 'copy' command lets you copy one Contexts settings to another. You can copy any / all settings from one context to any / all others. The syntax is powerful‚ allowing for a great number of possibilities. 1. The first argument is a director‚ either 'from' or 'to'‚ specifying whether you want to copy 'from' another Context to the one receiving the 'copy' message‚ or 'to' another (from this one). If no director is specified‚ 'to' is assumed. 2. The next argument(s) are a list of floats‚ corresponding to ID numbers. If the 'from' selector was chosen‚ the list will be truncated to a float‚ and the given settings will be copied from that single Context. If 'to' is selected or implied‚ the settings will be copied to the whole list of Contexts. 3. The last argument(s) are a series of letters corresponding to the commands you wish to be copied. For instance‚ 'x i d' would copy the commands :x :i and :d. If these arguments are left blank‚ all of the Contexts settings will be copied. If they start with a tilde (~)‚ then all commands except for those listed will be copied. There is an extra‚ 'hidden feature': if no ID numbers (2) are specified‚ then the the list of ID numbers will be interpreted by which Contexts receive the 'copy command in quick succession from the first one. In this way‚ you can specify a 'copy command dynamically‚ using either [click] or [control].,'copy' works especially well in conjunction with the [click] object (see 'click-help.pd). Note that you can only copy between Contexts that are open in the same patch window. Use 'copy ~ ID' to copy all commands apart from the ID number.,No example given—see 'helpfiles/command_input.pd',,,:v 0
euclid,{x/y},,%,% = float = rhythm length,toggles,n/a,Create a Euclidean rhythm along toggle axis,no,no,'euclid' takes one float argument‚ which is the number of beats that is to be fit into the pattern. By default‚ the pattern axis will be selected‚ but you can override this by using an operator 'x' or 'y' before the number argument.,'euclid' is used to create Euclidean rhythms‚ ie. patterns that are evenly distributed as far as possible across the toggle axis. You can use the ':x -l <' and ':x -l >' commands to alter the offset. Euclidean rhythms will work best when the pattern is looped‚ but this is not a requirement for the 'euclid' command.,,euclid 4,euclid 5,:v 0 :X 13 loop :d 1 :s
--help,,-help,%,% = any command,general,n/a,query context commands,no,no,Use the --help command to query the syntax and use of any Context command. The information prints to the console‚ and is identical to that which you get in the “context_commands_all.pd” help file.,You can query any command‚ or search for special terms‚ ie. “database”. Sending the same search term repeatedly prints more information.,Press more than once on each message‚ and watch the console for help messages.,--help :i <<,--help database,:v 0
:on,,,%,% = float = state (0‚ 1),input,1,prevent Context from starting,messages → on/off → message on/off,no,When off‚ (:on 0) this prevents context from being started. All other messages will still be interpreted as normal.,Use this to mute Context‚ a bit like a 'mute' button on a mixer.,Press :on and then try to start Context.,start,:on,:v 0 :d 1
:me,,,%,% = float = state (0‚ 1),messages,1,prevent Context from sending any messages,messages → on/off → start on/off,no,When off‚ (:me 0) this prevents context from sending any messages through the send channels or outlets. Toggle-floats still operate as normal.,Use this to mute Context‚ a bit like a 'mute' button on a mixer.,You won't notice much difference in this example‚ unless you create and print your own receive channel.,start,:me,:v 0 :d 1 :x 1 2 3 4
